"ID","Area","Feature","Actor","User story","Expected behavior","Primary surfaces","Evidence source","Automation coverage","Test status","Last test evidence","Error / UX issue","Fix status","Retest status","Notes"
"ACCT-008","Steam accounts","Export maFile","User","As a user I can export a clean maFile after re-authentication.","Export endpoint requires sensitive auth, decrypts stored MA data and downloads JSON without encryption wrapper.","API, Accounts page","backend/src/routes/accounts.ts; frontend/src/pages/AccountsPage.tsx","backend tests","Passed automated current loop","2026-06-22: full backend Jest passed: 22 suites / 74 tests. account-api-routes covers sensitive-auth export/recovery/session routes.","","No code fix required; automated coverage added","Passed automated retest",""
"ACCT-009","Steam accounts","View recovery code","User","As a user I can reveal the Steam recovery code after re-authentication.","Recovery-code endpoint requires sensitive auth and returns decrypted code for owned account only.","API, Account detail page","backend/src/routes/accounts.ts; frontend/src/pages/AccountDetailPage.tsx","backend tests","Passed automated current loop","2026-06-22: full backend Jest passed: 22 suites / 74 tests. account-api-routes covers sensitive-auth export/recovery/session routes.","","No code fix required; automated coverage added","Passed automated retest",""
"ACCT-010","Steam accounts","Manual Steam session save","User","As a user I can manually save Steam session cookies/tokens for an account.","Session endpoint requires sensitive auth, stores encrypted session data, clears session-expired notifications and logs session update.","API, Account detail page","backend/src/routes/accounts.ts; frontend/src/pages/AccountDetailPage.tsx","backend tests","Passed automated current loop","2026-06-22: full backend Jest passed: 22 suites / 74 tests. account-api-routes covers sensitive-auth export/recovery/session routes.","","No code fix required; automated coverage added","Passed automated retest","Live Steam validity still depends on user-provided session tokens."
"ACCT-011","Steam accounts","Reconnect Steam session","User","As a user I can refresh a broken Steam web session using Steam password and guard code.","Reconnect logs into Steam, refreshes Session inside encrypted maFile and account_sessions, clears session-expired notifications and returns SteamID.","API, Account detail page","backend/src/routes/accounts.ts; backend/src/services/steamEnrollmentService.ts; frontend/src/pages/AccountDetailPage.tsx","manual/partial","Observed issue path","2026-06-22: account 6 / knight_sagar exists from maFile, but Steam getWebCookies returns AccessDenied; session-expired web notifications are created.","Steam can reject maFile session refresh with AccessDenied; user must reconnect Steam session before login confirmations can be polled.","Fixed UX notification; Steam-side denial requires user reconnect","Notification path passed; live Steam reconnect pending user action",""
"ACCT-012","Steam accounts","Delete account","User","As a user I can remove an owned Steam account.","DELETE /api/accounts/:id removes account-owned data only and returns success; other users cannot delete it.","API, Accounts/Admin pages","backend/src/routes/accounts.ts; frontend/src/pages/AccountsPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ORG-001","Organization","List folders and tags","User","As a user I can see my account folders and tags.","GET /api/account-organization returns folders and tags owned by current user.","API, Accounts page, Account detail page","backend/src/routes/accountOrganization.ts; frontend/src/pages/AccountsPage.tsx","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ORG-002","Organization","Create folder","User","As a user I can create account folders.","POST /api/account-folders validates name and creates a folder scoped to the user.","API, Accounts page","backend/src/routes/accountOrganization.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ORG-003","Organization","Rename folder","User","As a user I can rename my folders.","PATCH /api/account-folders/:folderId validates ownership and name, then updates folder.","API, Accounts page","backend/src/routes/accountOrganization.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ORG-004","Organization","Delete folder","User","As a user I can delete folders without deleting accounts.","DELETE /api/account-folders/:folderId removes the folder and unassigns or preserves accounts according to DB behavior.","API, Accounts page","backend/src/routes/accountOrganization.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ORG-005","Organization","Create tag","User","As a user I can create tags.","POST /api/account-tags validates name and creates user-scoped tag.","API, Accounts page","backend/src/routes/accountOrganization.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ORG-006","Organization","Rename tag","User","As a user I can rename tags.","PATCH /api/account-tags/:tagId validates ownership and updates tag.","API, Accounts page","backend/src/routes/accountOrganization.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ORG-007","Organization","Delete tag","User","As a user I can delete tags without deleting accounts.","DELETE /api/account-tags/:tagId removes tag assignments and tag record for owner.","API, Accounts page","backend/src/routes/accountOrganization.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ORG-008","Organization","Assign folder and tags to account","User","As a user I can organize an account into a folder and tags.","PATCH /api/accounts/:id/organization validates all referenced folder/tag ownership and updates associations.","API, Account detail page","backend/src/routes/accountOrganization.ts; frontend/src/pages/AccountDetailPage.tsx","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"CONF-001","Confirmations","Manual trade polling","User","As a user I can fetch pending trade confirmations for an account.","GET /api/steamauth/:id/trades reads Steam confirmations, updates cache, sends notifications for new items and expires stale trade entries.","API, Account detail page","backend/src/routes/steam.ts; backend/src/services/steamService.ts","backend tests/manual","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest","Live Steam dependency."
"CONF-002","Confirmations","Manual login polling","User","As a user I can fetch pending login confirmations for an account.","GET /api/steamauth/:id/logins reads auth sessions, updates cache, sends notifications/Telegram code alerts and expires stale login entries.","API, Account detail page","backend/src/routes/steam.ts; backend/src/services/steamService.ts","backend tests/manual","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest","Live Steam dependency."
"CONF-003","Confirmations","Unified confirmation queue","User","As a user I can see all pending confirmations for an account.","GET /api/steamauth/:id/queue returns cached pending confirmations with kind/headline/summary/nonce.","API, Dashboard, Account detail page","backend/src/routes/steam.ts; frontend/src/pages/DashboardPage.tsx; frontend/src/pages/AccountDetailPage.tsx","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"CONF-004","Confirmations","Confirm trade","User","As a user I can approve a trade confirmation.","POST trade confirm uses cached/provided nonce, sends Steam ajaxop accept, updates cache/logs and sends WS event.","API, Account detail page, Telegram bot","backend/src/routes/steam.ts; bot/bot.py","manual/partial","Manual pending","","","","","Live Steam dependency."
"CONF-005","Confirmations","Reject trade","User","As a user I can reject a trade confirmation.","POST trade reject uses cached/provided nonce, sends Steam ajaxop cancel, updates cache/logs and sends WS event.","API, Account detail page, Telegram bot","backend/src/routes/steam.ts; bot/bot.py","manual/partial","Manual pending","","","","","Live Steam dependency."
"CONF-006","Confirmations","Confirm login","User","As a user I can approve a Steam login confirmation.","POST login confirm signs auth session approval, updates cache/logs and sends WS event.","API, Account detail page, Telegram bot","backend/src/routes/steam.ts; backend/src/services/steamService.ts","manual/partial","Manual pending","","","","","Live Steam dependency."
"CONF-007","Confirmations","Reject login","User","As a user I can reject a Steam login confirmation.","POST login reject signs auth session rejection, updates cache/logs and sends WS event.","API, Account detail page, Telegram bot","backend/src/routes/steam.ts; backend/src/services/steamService.ts","manual/partial","Manual pending","","","","","Live Steam dependency."
"CONF-008","Confirmations","Background confirmation poller","User","As a user with Telegram linked or auto-confirm enabled I receive confirmation updates without manually refreshing.","Poller checks eligible accounts every configured interval, caches new confirmations, sends web/Telegram notifications and expires stale entries.","Backend job, WebSocket, Telegram bot","backend/src/jobs/confirmationPoller.ts","manual/partial","Passed partial current loop","2026-06-22: live poller runs every 5 seconds and surfaces AccessDenied as session-expired notification; full live Steam confirmation requires valid Steam session.","Live account 6 cannot poll confirmations until Steam session is reconnected.","Poller UX notification fixed","Session-expired path passed; valid-session confirmation path pending",""
"CONF-009","Confirmations","Auto-confirm trades","User","As a user I can enable automatic trade confirmations with delay.","Poller waits configured delay then approves trade confirmations only when trade auto-confirm is enabled.","Backend job, Account detail page","backend/src/jobs/confirmationPoller.ts; frontend/src/pages/AccountDetailPage.tsx","manual/partial","Manual pending","","","","","Live Steam dependency."
"CONF-010","Confirmations","Auto-confirm logins","User","As a user I can separately enable automatic login approvals with delay.","Poller waits configured delay then approves login confirmations only when login auto-confirm is enabled.","Backend job, Account detail page","backend/src/jobs/confirmationPoller.ts; frontend/src/pages/AccountDetailPage.tsx","manual/partial","Manual pending","","","","","Live Steam dependency."
"CONF-011","Confirmations","Steam session expired notification","User","As a user I should be told when confirmations cannot be polled because Steam session recovery failed.","Steam session expired, AccessDenied, invalid token or missing access token errors keep one active web notification per account, dispatch webhook for the latest warning, throttle session_expired log noise, and throttle known backend warning spam.","Backend job, Notifications","backend/src/jobs/confirmationPoller.ts; backend/src/services/sessionNotificationService.ts","backend tests + observed DB","Passed automated current loop","2026-06-22: full backend Jest passed: 22 suites / 74 tests. session-notifications covers dedupe/log throttling; live DB retained one active session-expired notification after repeated AccessDenied poll cycles.","Previously repeated AccessDenied polling accumulated duplicate steam_session_expired web notifications/log entries for the same account.","Fixed: replace existing account session-expired notification, throttle repeated session_expired logs, and suppress repeated known AccessDenied warning spam.","Passed targeted automated retest","Live Steam reconnect still requires valid user credentials/session."
"NOTIF-001","Notifications","List web notifications","User","As a user I can see my web notifications.","GET /api/notifications returns unread/read notifications scoped to current user.","API, App layout/Dashboard","backend/src/routes/notifications.ts; frontend/src/api/index.ts","backend tests/manual","Passed automated current loop","2026-06-22: backend user-facing-routes suite added and passed; full backend lint/build/Jest passed: 20 suites / 62 tests. GET /api/notifications returns current-user notifications and parses JSON payload.","","No code fix required","Passed automated retest",""
"NOTIF-002","Notifications","Mark notification read","User","As a user I can mark a notification as read.","POST /api/notifications/:id/read sets read_at only for current user's notification.","API","backend/src/routes/notifications.ts","backend tests/manual","Passed automated current loop","2026-06-22: backend user-facing-routes suite added and passed; full backend lint/build/Jest passed: 20 suites / 62 tests. POST /api/notifications/:id/read updates only matching id and current user.","","No code fix required","Passed automated retest",""
"WS-001","Realtime","WebSocket connection","User","As a user I receive live confirmation events while the app is open.","Authenticated /ws connects using cookie or bearer session and receives per-user events for new/confirmed/rejected confirmations.","WebSocket, Dashboard","backend/src/app.ts; backend/src/services/wsHub.ts; frontend/src/layouts/AppLayout.tsx","backend tests","Passed automated current loop","2026-06-22: full backend Jest passed: 22 suites / 74 tests. websocket.test verifies authenticated /ws connected event and ping/pong.","","No code fix required; automated coverage added","Passed automated retest",""
"SET-001","Settings","Load settings","User","As a user I can open settings and see language, theme, 2FA, Telegram, API and recovery status.","GET /api/settings returns current user settings and linked-state metadata.","API, Settings page","backend/src/routes/settings.ts; frontend/src/pages/SettingsPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend user-facing-routes suite added and passed; full backend lint/build/Jest passed: 20 suites / 62 tests. GET /api/settings returns language/theme/2FA/Telegram/API-key/recovery/passkey metadata.","","No code fix required","Passed automated retest",""
"SET-002","Settings","Update language/theme/2FA/Telegram notification settings","User","As a user I can update profile preferences.","PATCH /api/settings persists language, theme, 2FA method and Telegram login-code notification flag with validation.","API, Settings page","backend/src/routes/settings.ts; frontend/src/pages/SettingsPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend user-facing-routes suite added and passed; full backend lint/build/Jest passed: 20 suites / 62 tests. PATCH /api/settings persists language/theme and rejects Telegram login-code notifications before Telegram is linked.","","No code fix required","Passed automated retest",""
"SET-003","Settings","Telegram link code","User","As a user I can generate a Telegram link command.","POST /api/settings/telegram/link-code returns code/command with TTL; bot /add links Telegram to user.","API, Settings page, Telegram bot","backend/src/routes/settings.ts; backend/src/routes/bot.ts; bot/bot.py","backend tests/manual","Passed automated current loop","2026-06-22: backend user-facing-routes suite added and passed; full backend lint/build/Jest passed: 20 suites / 62 tests. POST /api/settings/telegram/link-code returns /add=<code> and 15 minute TTL.","","No code fix required","Passed automated retest",""
"SET-004","Settings","Unlink Telegram","User","As a user I can unlink Telegram from my profile.","DELETE /api/settings/telegram clears telegram user id/username and related 2FA method if needed.","API, Settings page","backend/src/routes/settings.ts; frontend/src/pages/SettingsPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend user-facing-routes suite added and passed; full backend lint/build/Jest passed: 20 suites / 62 tests. DELETE /api/settings/telegram clears Telegram link related settings.","","No code fix required","Passed automated retest",""
"SET-005","Settings","TOTP setup","User","As a user I can set up app-based TOTP for web login.","Setup endpoint returns secret/QR; verify endpoint accepts valid code and stores secret.","API, Settings page","backend/src/routes/settings.ts; backend/src/services/totpService.ts","backend tests/manual","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"SET-006","Settings","Recovery codes regeneration","User","As a user I can regenerate web account recovery codes after re-authentication.","Endpoint requires sensitive auth, generates new recovery codes and returns them once.","API, Settings page","backend/src/routes/settings.ts; backend/src/services/recoveryCodeService.ts","backend tests/manual","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"SET-007","Settings","API key regeneration","User","As a user I can generate a bot API key.","POST /api/settings/api-key generates a new key, stores hash/last4 and returns plaintext key once.","API, Settings page","backend/src/routes/settings.ts; frontend/src/pages/SettingsPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend user-facing-routes suite added and passed; full backend lint/build/Jest passed: 20 suites / 62 tests. POST /api/settings/api-key returns a one-time raw key and stores hash/last4.","","No code fix required","Passed automated retest",""
"SET-008","Settings","Webhook list/create/delete/test","User","As a user I can manage webhook destinations for trade/login/session events.","Webhook routes list/create/delete/test user-owned webhook endpoints with target type and allowed events.","API, Settings page","backend/src/routes/settings.ts; backend/src/services/webhookService.ts","backend tests/manual","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest","External HTTP dependency."
"LOG-001","Logs","User logs list","User","As a user I can see readable logs filtered by account and scope.","GET /api/logs returns sanitized user-facing log items scoped to current user with auth/steam/security filters.","API, Logs page","backend/src/routes/logs.ts; backend/src/services/logViewService.ts; frontend/src/pages/LogsPage.tsx","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"LOG-002","Logs","Log view hides debug/system noise","User","As a user I should see meaningful account/security events rather than raw internal JSON.","Log view service maps raw log details into readable events and scopes allowed detail fields.","API, Logs page","backend/src/services/logViewService.ts","backend tests","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ADMIN-001","Admin","Admin route protection","Admin","As an admin I can access /admin and normal users cannot.","Frontend AdminRoute and backend requireAdmin enforce admin-only access.","API, Admin page","backend/src/plugins/auth.ts; frontend/src/components/ProtectedRoute.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ADMIN-002","Admin","Overview metrics","Admin","As an admin I can see user and account counts.","GET /api/admin/overview returns counts for admin dashboard.","API, Admin page","backend/src/routes/admin.ts; frontend/src/pages/AdminPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend user-facing-routes suite added and passed; full backend lint/build/Jest passed: 20 suites / 62 tests. GET /api/admin/overview returns user/account counts for admins.","","No code fix required","Passed automated retest",""
"ADMIN-003","Admin","Registration settings management","Admin","As an admin I can configure registration mode and allowed domains.","GET/PATCH admin settings show and update registrationEnabled, registrationMode and allowedEmailDomains.","API, Admin page","backend/src/routes/admin.ts; frontend/src/pages/AdminPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend lint, build and Jest passed; 19 suites / 57 tests. Production audit high passed: 0 vulnerabilities.","","","Passed automated retest",""
"ADMIN-004","Admin","Invite management","Admin","As an admin I can create and revoke registration invites.","Admin invite endpoints list/create/delete invites with expiry and usage metadata.","API, Admin page","backend/src/routes/admin.ts; frontend/src/pages/AdminPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend user-facing-routes suite added and passed; full backend lint/build/Jest passed: 20 suites / 62 tests. GET/POST admin invites list and create invite transactionally for admins.","","No code fix required","Passed automated retest",""
"ADMIN-005","Admin","User list","Admin","As an admin I can list users.","GET /api/admin/users returns recent users with role and 2FA method.","API, Admin page","backend/src/routes/admin.ts; frontend/src/pages/AdminPage.tsx","backend tests/manual","Passed automated current loop","2026-06-22: backend user-facing-routes suite added and passed; full backend lint/build/Jest passed: 20 suites / 62 tests. GET /api/admin/users returns recent users with Telegram linked flag and profile metadata.","","No code fix required","Passed automated retest",""
